,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_jobs,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07791690826416016,0.023847916246016468,0.5663116455078125,0.1284651970863767,kd_tree,25,-1,3,1,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.9310887350534928,0.9254247954688484,0.9274701069855255,0.926829268292683,0.9301337529504328,0.9281893317501965,0.0021069898452799178,23
1,0.09112582206726075,0.04167753248269456,0.29879255294799806,0.10097517210958865,kd_tree,25,-1,3,1,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.9402139710509755,0.9348646947765891,0.9365953429830082,0.9348544453186467,0.9350118017309206,0.9363080511720281,0.0020598668384254138,2
2,0.07296929359436036,0.02746244910432235,0.649340295791626,0.10760483360701424,kd_tree,25,-1,3,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.9315607300188798,0.9225928256765261,0.9249528005034613,0.9247836349331235,0.9260424862313139,0.9259864954726609,0.0030035851642141744,27
3,0.11525664329528809,0.034423218512701435,0.27927651405334475,0.0450563052285062,kd_tree,25,-1,3,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.9372246696035242,0.9326620516047829,0.935336689741976,0.9315499606608969,0.930763178599528,0.9335073100421416,0.0024183187546432017,9
4,0.08270654678344727,0.010941405653093369,0.6042807102203369,0.05373836484997536,kd_tree,25,-1,4,1,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.9258967904342353,0.9156702328508496,0.9185022026431718,0.9166011014948859,0.918174665617624,0.9189689986081533,0.003614746331871016,35
5,0.1099510669708252,0.030049039868471194,0.3357109069824219,0.08119204531935195,kd_tree,25,-1,4,1,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.9394273127753304,0.9347073631214601,0.9378539962240403,0.9335955940204563,0.9361132966168372,0.9363395125516248,0.0021010637940223646,1
6,0.0618344783782959,0.004148731275248938,0.8254915237426758,0.10085654739823786,kd_tree,25,-1,4,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.9233794839521712,0.9128382630585273,0.9134675896790434,0.912667191188041,0.9128245476003147,0.9150354150956195,0.004181039541837834,40
7,0.09906120300292968,0.047491487412159174,0.40536794662475584,0.0673066001143585,kd_tree,25,-1,4,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.9370673379483953,0.9310887350534928,0.9337633731906859,0.9334382376081826,0.932336742722266,0.9335388853046045,0.001997943235958456,8
8,0.10166354179382324,0.02849725856134861,0.810781192779541,0.08324183527315761,kd_tree,25,-1,5,1,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.9257394587791064,0.9178728760226558,0.919918187539333,0.9161290322580645,0.9199055861526357,0.919913028150359,0.0032381544586786905,33
9,0.12153754234313965,0.08740916268182082,0.40098819732666013,0.05800853779216171,kd_tree,25,-1,5,1,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.9372246696035242,0.933920704845815,0.935179358086847,0.9309205350118017,0.9324940991345397,0.9339478733365055,0.0021694664484743532,6
10,0.12988829612731934,0.04641779346802988,0.755890941619873,0.11992273798225359,kd_tree,25,-1,5,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.9260541220893643,0.9134675896790434,0.9151982378854625,0.9117230527143981,0.9169158143194335,0.9166717633375404,0.005000319180872729,38
11,0.092291259765625,0.0174344868902067,0.3327023506164551,0.027443613691104714,kd_tree,25,-1,5,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.9358086847073631,0.9277847702957835,0.9312460667086218,0.9274586939417782,0.9284028324154209,0.9301402096137936,0.00313405902976052,18
12,0.12197604179382324,0.05561062842312393,0.7521228790283203,0.038563939308240605,kd_tree,25,-1,6,1,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",0.9177155443675268,0.9109502831969792,0.9117369414726243,0.9066876475216366,0.9123524783634933,0.9118885789844521,0.0035248208241019235,41
13,0.11814837455749512,0.03599067671914358,0.34199838638305663,0.03899547224092046,kd_tree,25,-1,6,1,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",0.9369100062932662,0.9334487098804279,0.9325047199496539,0.9299763965381589,0.9318646734854446,0.9329409012293903,0.0022868525516140164,11
