,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.43033638000488283,0.022430113429555167,0.007526493072509766,0.0008168242315874565,0.7575757575757576,0.09292929292929293,0.08535353535353536,4,171,0.8818181818181818,"{'colsample_bytree': 0.7575757575757576, 'gamma': 0.09292929292929293, 'learning_rate': 0.08535353535353536, 'max_depth': 4, 'n_estimators': 171, 'subsample': 0.8818181818181818}",0.8535242290748899,0.85509754562618,0.8494336060415355,0.8546026750590087,0.855861526357199,0.8537039164317626,0.002265969477597831,42,0.8646841318542994,0.8651561639524821,0.8649988199197546,0.8644534476654997,0.8659481571805059,0.8650481441145083,0.0005119166870880859
1,0.3675724506378174,0.058618231846763194,0.006722164154052734,0.0010363220493163747,0.601010101010101,0.08282828282828283,0.26717171717171717,4,187,1.0,"{'colsample_bytree': 0.601010101010101, 'gamma': 0.08282828282828283, 'learning_rate': 0.26717171717171717, 'max_depth': 4, 'n_estimators': 187, 'subsample': 1.0}",0.8871932032724984,0.8864065449968533,0.8840465701699182,0.8914240755310779,0.8925255704169945,0.8883191928774685,0.003178530717312988,33,0.9132641019589333,0.9139328140980253,0.9142081661552985,0.9161389293159737,0.913228179207804,0.914154438147207,0.0010621547220547667
2,1.0348286151885986,0.05360844069678255,0.018729162216186524,0.0036858856915843894,0.6161616161616161,0.00202020202020202,0.10303030303030303,6,357,0.9636363636363636,"{'colsample_bytree': 0.6161616161616161, 'gamma': 0.00202020202020202, 'learning_rate': 0.10303030303030303, 'max_depth': 6, 'n_estimators': 357, 'subsample': 0.9636363636363636}",0.9233794839521712,0.9183448709880428,0.9238514789175583,0.9210070810385523,0.9195908733280881,0.9212347576448826,0.0021238040552509756,21,0.9590512154826528,0.9599952796790182,0.9599559436708363,0.9613342249144475,0.9598788498603626,0.9600431027214634,0.0007331711338570495
3,2.2177256107330323,0.22390806357792956,0.04047517776489258,0.003242588442902846,0.6464646464646464,0.03737373737373737,0.05252525252525253,9,376,0.7969696969696969,"{'colsample_bytree': 0.6464646464646464, 'gamma': 0.03737373737373737, 'learning_rate': 0.05252525252525253, 'max_depth': 9, 'n_estimators': 376, 'subsample': 0.7969696969696969}",0.9406859660163625,0.9397419760855884,0.9417872876022656,0.9351691581431943,0.9419354838709677,0.9398639743436756,0.002478795621005254,10,0.9853276689481552,0.9859570450790653,0.9848163008417906,0.985603587302836,0.9859182629902057,0.9855245730324105,0.00042158933177664933
4,1.0900913238525392,0.10275394957010638,0.01762251853942871,0.0024193677176914986,0.8787878787878789,0.05757575757575758,0.10303030303030303,6,335,0.9666666666666667,"{'colsample_bytree': 0.8787878787878789, 'gamma': 0.05757575757575758, 'learning_rate': 0.10303030303030303, 'max_depth': 6, 'n_estimators': 335, 'subsample': 0.9666666666666667}",0.9271554436752675,0.9218061674008811,0.9269981120201385,0.9239968528717545,0.925255704169945,0.9250424560275974,0.001995075535688064,18,0.9658563448981198,0.9662890409881205,0.9652269687672095,0.9685324312630296,0.967313062974472,0.9666435697781901,0.0011634595779724277
5,0.7208895206451416,0.027066180620543192,0.011214590072631836,0.0017515699684182364,0.7424242424242424,0.09090909090909091,0.19646464646464645,8,269,0.9757575757575758,"{'colsample_bytree': 0.7424242424242424, 'gamma': 0.09090909090909091, 'learning_rate': 0.19646464646464645, 'max_depth': 8, 'n_estimators': 269, 'subsample': 0.9757575757575758}",0.9406859660163625,0.9386406544996854,0.9408432976714916,0.9351691581431943,0.9365853658536586,0.9383848884368785,0.002235323382410456,13,0.9831248524899693,0.9829675084572418,0.9834788765636063,0.9844628879361208,0.9836368642567753,0.9835341979407428,0.0005224493474990229
6,0.9957417011260986,0.0434941699634313,0.018850946426391603,0.002976913387928973,0.797979797979798,0.0797979797979798,0.08535353535353536,7,274,0.8848484848484848,"{'colsample_bytree': 0.797979797979798, 'gamma': 0.0797979797979798, 'learning_rate': 0.08535353535353536, 'max_depth': 7, 'n_estimators': 274, 'subsample': 0.8848484848484848}",0.9315607300188798,0.9257394587791064,0.9329767149150409,0.9277734067663257,0.9329661683713611,0.9302032957701428,0.0029325124980777518,17,0.9690425615608528,0.9708520179372198,0.9704586578554009,0.9717185225976478,0.9708531644573811,0.9705849848817005,0.0008744327200300572
7,0.41861577033996583,0.02426971357619461,0.004304265975952149,0.0003981574452534393,0.7525252525252526,0.05454545454545454,0.2090909090909091,2,230,0.8515151515151516,"{'colsample_bytree': 0.7525252525252526, 'gamma': 0.05454545454545454, 'learning_rate': 0.2090909090909091, 'max_depth': 2, 'n_estimators': 230, 'subsample': 0.8515151515151516}",0.8333857772183764,0.8409376966645689,0.8330711139081183,0.8380802517702597,0.8390243902439024,0.836899845961045,0.003137487939403343,48,0.8463535520415388,0.8464715600660845,0.8467862481315396,0.8449042205876568,0.8452188962750266,0.8459468954203692,0.0007432777588688058
8,1.594319725036621,0.0929304735666414,0.03135685920715332,0.005615885237411865,0.5303030303030303,0.0202020202020202,0.2318181818181818,8,373,0.709090909090909,"{'colsample_bytree': 0.5303030303030303, 'gamma': 0.0202020202020202, 'learning_rate': 0.2318181818181818, 'max_depth': 8, 'n_estimators': 373, 'subsample': 0.709090909090909}",0.9411579609817495,0.9395846444304594,0.9432032724984267,0.9331235247836349,0.9380015735641227,0.9390141952516787,0.003411595321705422,11,0.9923294784045316,0.9923294784045316,0.9917394382818031,0.9926051213468119,0.9922117767375999,0.9922430586350556,0.00028306825243233164
9,0.781852912902832,0.02648398383837795,0.00851426124572754,0.001848032809418997,0.9444444444444444,0.0595959595959596,0.08282828282828283,3,364,0.9696969696969697,"{'colsample_bytree': 0.9444444444444444, 'gamma': 0.0595959595959596, 'learning_rate': 0.08282828282828283, 'max_depth': 3, 'n_estimators': 364, 'subsample': 0.9696969696969697}",0.8524229074889867,0.85509754562618,0.8480176211453745,0.8575924468922108,0.8569630212431156,0.8540187084791736,0.00349754495252473,41,0.8645661238297537,0.8653921800015735,0.8643301077806624,0.8656728159540573,0.8637454273689179,0.8647413309869929,0.0007046835848116379
