,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4841653823852539,0.006734897788019765,0.019429349899291994,0.0001797058495191541,42,32,4,5,log2,21,gini,"{'random_state': 42, 'n_estimators': 32, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 21, 'criterion': 'gini'}",0.9144115796098174,0.9156702328508496,0.9153555695405916,0.9129819040125885,0.9123524783634933,0.9141543528754681,0.001298334876845654,46,0.9489418613799072,0.9494925654944536,0.9484698292817245,0.9500059001691382,0.9487471974196594,0.9491314707489765,0.0005507092448300066
1,0.5783619403839111,0.010635390039016328,0.019063568115234374,0.0005649008649305934,42,31,5,4,log2,25,entropy,"{'random_state': 42, 'n_estimators': 31, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy'}",0.9224354940213971,0.9224354940213971,0.9230648206419132,0.9211644374508261,0.9208497246262786,0.9219899941523624,0.0008407081192455511,30,0.9609393438753835,0.9624734481944772,0.9620407521044765,0.9619635762891869,0.9611768870707627,0.9617188015068574,0.0005717139074428978
2,0.7306032657623291,0.006186103844691891,0.024037504196166994,0.0006591502467011596,42,40,5,3,log2,25,entropy,"{'random_state': 42, 'n_estimators': 40, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy'}",0.9314033983637507,0.9306167400881057,0.9321900566393958,0.9276160503540519,0.9266719118804091,0.9296996314651427,0.0021658496508268,22,0.9722287782235859,0.9725828022972228,0.9713633860435843,0.9725838807379145,0.9719545293631751,0.9721426753330965,0.00045573640721109377
3,0.7967465400695801,0.021310113657186484,0.026931571960449218,0.0013094428787114268,42,40,4,1,log2,22,entropy,"{'random_state': 42, 'n_estimators': 40, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 22, 'criterion': 'entropy'}",0.9394273127753304,0.9376966645689113,0.9419446192573946,0.9386309992132179,0.937844217151849,0.9391087625933405,0.0015469267008546845,8,0.9885532216190701,0.9881991975454331,0.9875698214145229,0.9875309758879754,0.9879636549581088,0.987963374285022,0.0003861048567574556
4,0.623000192642212,0.009646546887388823,0.0203948974609375,0.0011537635832556954,42,31,3,1,sqrt,21,entropy,"{'random_state': 42, 'n_estimators': 31, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 21, 'criterion': 'entropy'}",0.9376966645689113,0.9383259911894273,0.9422592825676526,0.9398898505114084,0.937844217151849,0.9392032011978497,0.0017144741624860271,7,0.9875304854063409,0.9881991975454331,0.9867437652427031,0.9873736380442906,0.9887503441765331,0.9877194860830603,0.0006928426626642849
5,0.6397661209106446,0.04876251064193602,0.0259033203125,0.0024053852133605036,42,34,4,1,sqrt,21,gini,"{'random_state': 42, 'n_estimators': 34, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 21, 'criterion': 'gini'}",0.9378539962240403,0.9424166142227817,0.9424166142227817,0.9361132966168372,0.9359559402045633,0.9389512922982007,0.0029067963261510733,9,0.9880025175045236,0.9875304854063409,0.9873731413736134,0.9870982968178421,0.9870589623569209,0.9874126806918481,0.00034272515365204063
6,0.7192428588867188,0.02240129513035896,0.024102544784545897,0.0018119625579979155,42,34,4,1,sqrt,24,entropy,"{'random_state': 42, 'n_estimators': 34, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 24, 'criterion': 'entropy'}",0.9406859660163625,0.9414726242920075,0.9441472624292008,0.9405192761605036,0.9395751376868607,0.9412800533169869,0.0015554054508083249,4,0.9899299819054362,0.989693965856345,0.9888679096845252,0.9896157023167997,0.9901270503087756,0.9896469220143764,0.00042911399036936395
7,0.6008745193481445,0.02626004512566742,0.018770790100097655,0.00048240214739727634,42,31,3,4,log2,21,entropy,"{'random_state': 42, 'n_estimators': 31, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 21, 'criterion': 'entropy'}",0.9214915040906231,0.9238514789175583,0.9236941472624292,0.9192761605035406,0.9200629425649095,0.9216752466678122,0.0018547693492339198,33,0.9567697270081033,0.9590905514908347,0.9601132877035639,0.9596035086339142,0.9590528261810172,0.9589259802034867,0.0011455431311839248
8,0.6661104202270508,0.020046724673125602,0.021211671829223632,0.0012493644168843454,42,33,2,3,sqrt,21,entropy,"{'random_state': 42, 'n_estimators': 33, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 21, 'criterion': 'entropy'}",0.9298300818124606,0.9279421019509125,0.9325047199496539,0.9302911093627065,0.9250983477576711,0.9291332721666808,0.002485650509529551,23,0.9673117772008497,0.9672331051844859,0.968295177405397,0.9692797860205326,0.9674310663572355,0.9679101824337002,0.0007835955273135711
9,0.6817449569702149,0.014781461004289093,0.022620391845703126,0.0023631420234878327,42,34,3,2,log2,20,entropy,"{'random_state': 42, 'n_estimators': 34, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy'}",0.9290434235368156,0.9347073631214601,0.9364380113278792,0.9291896144767899,0.9321793863099921,0.9323115597545873,0.0029398028108827538,19,0.9740382345999528,0.974352922665408,0.9754543308945008,0.9760846477599024,0.9755339653070054,0.9750928202453538,0.0007705348850996585
